1711929600000,3645.29000000,3645.95000000,3641.26000000,3642.33000000,764.86520000,1711929659999,2786934.76700300,1202,302.82330000,1103299.82547500,0
1711929660000,3642.33000000,3642.60000000,3640.28000000,3640.29000000,441.75100000,1711929719999,1608692.58258000,966,171.60950000,624952.53029300,0
1711929720000,3640.29000000,3640.29000000,3637.80000000,3638.68000000,275.44170000,1711929779999,1002297.96550000,830,111.87040000,407050.63917700,0
1711929780000,3638.67000000,3642.60000000,3637.00000000,3642.59000000,274.73920000,1711929839999,999786.09667900,785,186.18440000,677586.69432000,0
1711929840000,3642.59000000,3643.84000000,3641.21000000,3643.83000000,216.96540000,1711929899999,790344.47319300,592,134.33080000,489312.78347600,0
1711929900000,3643.84000000,3645.67000000,3643.49000000,3644.22000000,232.78840000,1711929959999,848427.20598000,611,164.51250000,599566.04838100,0
1711929960000,3644.22000000,3644.22000000,3638.92000000,3639.84000000,202.60990000,1711930019999,737740.01646800,638,94.60920000,344454.71264200,0
1711930020000,3639.83000000,3641.23000000,3639.80000000,3640.00000000,225.38180000,1711930079999,820496.24135000,602,168.06930000,611851.26106600,0
1711930080000,3640.01000000,3640.01000000,3638.00000000,3638.39000000,150.33920000,1711930139999,547053.04854400,468,33.27720000,121079.93363500,0
1711930140000,3638.40000000,3641.19000000,3638.39000000,3641.19000000,137.32450000,1711930199999,499880.26263700,521,95.23850000,346679.12041100,0
1711930200000,3641.18000000,3641.19000000,3638.00000000,3638.01000000,96.38390000,1711930259999,350827.51787200,576,22.16450000,80667.18646700,0
1711930260000,3638.00000000,3638.20000000,3637.82000000,3638.18000000,63.64800000,1711930319999,231550.71755400,245,47.82490000,173986.37233800,0
1711930320000,3638.18000000,3638.19000000,3637.05000000,3637.05000000,30.56780000,1711930379999,111193.76351000,271,13.34820000,48553.84124300,0
1711930380000,3637.05000000,3637.06000000,3637.05000000,3637.06000000,49.15420000,1711930439999,178776.53509700,194,25.19870000,91649.18382200,0
1711930440000,3637.05000000,3637.06000000,3636.00000000,3636.01000000,137.37330000,1711930499999,499614.33636200,478,16.52060000,60085.47399600,0
1711930500000,3636.01000000,3636.40000000,3632.60000000,3634.84000000,470.47410000,1711930559999,1709904.12629500,997,222.18410000,807529.77612800,0
1711930560000,3634.83000000,3635.88000000,3633.74000000,3635.59000000,94.42870000,1711930619999,343239.29068900,446,45.35290000,164853.24723300,0
1711930620000,3635.60000000,3637.57000000,3635.59000000,3636.76000000,134.53600000,1711930679999,489259.81885900,475,98.24780000,357288.83178500,0
1711930680000,3636.77000000,3638.16000000,3636.66000000,3638.16000000,42.36000000,1711930739999,154082.19732400,270,29.92830000,108862.89316800,0
1711930740000,3638.15000000,3638.78000000,3638.15000000,3638.77000000,52.39710000,1711930799999,190651.97520700,199,41.55570000,151203.69142100,0
1711930800000,3638.77000000,3638.78000000,3637.00000000,3638.61000000,143.94530000,1711930859999,523701.47784800,713,62.36700000,226888.22351300,0
1711930860000,3638.61000000,3638.62000000,3636.87000000,3636.88000000,103.87920000,1711930919999,377899.39299900,635,23.10020000,84023.86052500,0
1711930920000,3636.87000000,3638.20000000,3636.87000000,3637.01000000,80.52700000,1711930979999,292909.40236100,333,23.42260000,85194.04754700,0
1711930980000,3637.01000000,3637.55000000,3637.00000000,3637.05000000,69.99360000,1711931039999,254589.74108400,298,43.74410000,159108.68365700,0
1711931040000,3637.04000000,3637.81000000,3637.04000000,3637.80000000,65.75910000,1711931099999,239196.05670400,246,42.54370000,154750.18844200,0
1711931100000,3637.81000000,3638.20000000,3637.20000000,3637.41000000,110.78730000,1711931159999,403016.99028700,599,61.72320000,224527.02774700,0
