direction,amount_in,price_a_usd,price_b_usd
A_TO_B,13500474.901182467,3285.74,95199.41
A_TO_B,127405195.5230115,3285.74,95199.41
A_TO_B,146515974.85146323,3284.83,95175.69
A_TO_B,17985992.5399243,3286.21,95220.31
A_TO_B,171191269.9601714,3286.21,95220.31
B_TO_A,3.084239040034517e-06,3286.51,95230.49
A_TO_B,195295223.60521486,3286.51,95230.49
A_TO_B,224589507.1459971,3288.17,95250.02
A_TO_B,14615924.560370345,3287.23,95242.25
A_TO_B,260470321.9019522,3287.23,95242.25
A_TO_B,9499909.092695909,3286.5,95241.38
A_TO_B,300965856.5511494,3286.5,95241.38
B_TO_A,6.309291786813387e-07,3287.11,95245.99
A_TO_B,345109947.13861436,3287.11,95245.99
A_TO_B,3885814.694480091,3286.54,95234.21
A_TO_B,397459311.41357845,3286.54,95234.21
A_TO_B,457078208.12561524,3285.16,95233.76
A_TO_B,69222844.6371071,3286.86,95260.64
A_TO_B,536023366.0400235,3286.86,95260.64
A_TO_B,616426870.946027,3287.36,95289.87
A_TO_B,35216466.95192254,3287.87,95295.91
A_TO_B,714173371.6307194,3287.87,95295.91
A_TO_B,821299377.3753272,3287.57,95285.37
A_TO_B,944494283.9816264,3289.58,95345.81
A_TO_B,1086168426.5788703,3290.73,95366.81
B_TO_A,4.708108642458269e-07,3292.11,95410.75
A_TO_B,1239414325.1387734,3292.11,95410.75
A_TO_B,1425326473.9095895,3290.94,95412.46
B_TO_A,1.7163604086653964e-07,3290.72,95437.38
A_TO_B,1633024427.8478293,3290.72,95437.38
A_TO_B,1877978092.0250037,3292.82,95553.6
A_TO_B,199949198.16408396,3294.17,95508.43
A_TO_B,2189667185.5533667,3294.17,95508.43
A_TO_B,2518117263.386372,3294.99,95545.24
A_TO_B,37269602.32730676,3294.43,95524.41
A_TO_B,2901425293.243424,3294.43,95524.41
A_TO_B,198781354.6689899,3296.34,95517.75
A_TO_B,3366456290.430286,3296.34,95517.75
A_TO_B,3871424733.994829,3295.62,95526.36
A_TO_B,4452138444.094053,3296.35,95528.05
A_TO_B,188505538.45172,3298.08,95537.02
A_TO_B,5148235041.47592,3298.08,95537.02
A_TO_B,5920470297.697308,3299.04,95546.96
B_TO_A,1.3199629831148436e-07,3298.01,95546.97
A_TO_B,6728242547.636126,3298.01,95546.97
B_TO_A,7.246581317718989e-08,3296.3,95549.99
A_TO_B,7680291675.257711,3296.3,95549.99
A_TO_B,241231046.25158474,3296.28,95552.13
A_TO_B,8868520083.484106,3296.28,95552.13
A_TO_B,670339044.5097315,3294.02,95523.31
A_TO_B,10299348952.683184,3294.02,95523.31
A_TO_B,11844251295.58566,3294.46,95492.46
A_TO_B,1102534627.9729376,3292.7,95465.98
A_TO_B,13786269184.11945,3292.7,95465.98
B_TO_A,4.9076722872934904e-08,3290.5,95416.01
A_TO_B,15692069898.239605,3290.5,95416.01
A_TO_B,18045880382.975544,3289.17,95384.85
