direction,amount_in,price_a_usd,price_b_usd
A_TO_B,1000.0,1329.5,41190.98
A_TO_B,1000.0,1329.5,41190.98
A_TO_B,1000.0,1332.0,41264.41
A_TO_B,1000.0,1329.53,41236.39
A_TO_B,1000.0,1333.25,41277.85
B_TO_A,1000.0,1332.62,41315.39
A_TO_B,1000.0,1332.62,41315.39
A_TO_B,1000.0,1329.56,41285.12
B_TO_A,1000.0,1331.79,41308.57
A_TO_B,1000.0,1331.79,41308.57
A_TO_B,1000.0,1327.02,41234.06
A_TO_B,1000.0,1322.79,41198.77
A_TO_B,1000.0,1322.79,41198.77
A_TO_B,1000.0,1321.32,41217.43
A_TO_B,1000.0,1321.9,41207.44
A_TO_B,1000.0,1321.9,41207.44
A_TO_B,1000.0,1322.16,41205.01
A_TO_B,1000.0,1322.16,41205.01
A_TO_B,1000.0,1321.47,41131.03
A_TO_B,1000.0,1317.3,41038.05
A_TO_B,1000.0,1322.6,41126.34
A_TO_B,1000.0,1322.6,41126.34
A_TO_B,1000.0,1322.46,41096.87
B_TO_A,1000.0,1322.28,41159.99
A_TO_B,1000.0,1322.28,41159.99
B_TO_A,1000.0,1321.0,41123.61
A_TO_B,1000.0,1321.0,41123.61
A_TO_B,1000.0,1323.44,41141.56
A_TO_B,1000.0,1323.44,41141.56
A_TO_B,1000.0,1320.71,40986.98
A_TO_B,1000.0,1320.71,40986.98
A_TO_B,1000.0,1321.11,41012.18
A_TO_B,1000.0,1319.29,41006.95
A_TO_B,1000.0,1319.29,41006.95
B_TO_A,1000.0,1319.63,41023.18
A_TO_B,1000.0,1319.63,41023.18
A_TO_B,1000.0,1314.58,40933.14
A_TO_B,1000.0,1314.08,40956.71
A_TO_B,1000.0,1313.65,40980.23
A_TO_B,1000.0,1314.88,40990.0
A_TO_B,1000.0,1314.88,40990.0
A_TO_B,1000.0,1316.45,41025.0
A_TO_B,1000.0,1319.45,41045.21
A_TO_B,1000.0,1319.45,41045.21
A_TO_B,1000.0,1318.89,40984.02
A_TO_B,1000.0,1318.89,40984.02
A_TO_B,1000.0,1320.21,40982.04
B_TO_A,1000.0,1322.4,40996.01
A_TO_B,1000.0,1322.4,40996.01
A_TO_B,1000.0,1323.45,41046.6
A_TO_B,1000.0,1323.99,41056.46
A_TO_B,1000.0,1323.99,41056.46
A_TO_B,1000.0,1324.58,41087.25
B_TO_A,1000.0,1326.93,41090.03
A_TO_B,1000.0,1326.93,41090.03
A_TO_B,1000.0,1331.08,41090.23
A_TO_B,1000.0,1331.08,41090.23
A_TO_B,1000.0,1330.15,41065.43
A_TO_B,1000.0,1330.15,41065.43
A_TO_B,1000.0,1335.16,41086.25
B_TO_A,1000.0,1331.01,41058.35
A_TO_B,1000.0,1331.01,41058.35
A_TO_B,1000.0,1327.84,40992.06
A_TO_B,1000.0,1328.4,41000.01
A_TO_B,1000.0,1327.35,41006.13
A_TO_B,1000.0,1327.35,41006.13
B_TO_A,1000.0,1329.27,41089.93
A_TO_B,1000.0,1329.27,41089.93
A_TO_B,1000.0,1328.21,41081.17
A_TO_B,1000.0,1324.0,40996.74
B_TO_A,1000.0,1326.53,41019.47
A_TO_B,1000.0,1326.53,41019.47
A_TO_B,1000.0,1327.75,40986.58
B_TO_A,1000.0,1323.5,40860.0
A_TO_B,1000.0,1323.5,40860.0
A_TO_B,1000.0,1328.85,40942.51
B_TO_A,1000.0,1330.29,41012.18
A_TO_B,1000.0,1330.29,41012.18
A_TO_B,1000.0,1329.93,40960.9
A_TO_B,1000.0,1329.93,40960.9
A_TO_B,1000.0,1330.13,41005.95
B_TO_A,1000.0,1327.79,40988.87
A_TO_B,1000.0,1327.79,40988.87
A_TO_B,1000.0,1326.48,40969.49
A_TO_B,1000.0,1322.82,40930.0
A_TO_B,1000.0,1322.82,40930.0
A_TO_B,1000.0,1324.63,40977.95
A_TO_B,1000.0,1324.97,40957.05
B_TO_A,1000.0,1327.18,40972.62
A_TO_B,1000.0,1327.18,40972.62
B_TO_A,1000.0,1328.55,41027.95
A_TO_B,1000.0,1328.55,41027.95
A_TO_B,1000.0,1331.19,41113.98
A_TO_B,1000.0,1331.19,41113.98
A_TO_B,1000.0,1327.35,41065.47
A_TO_B,1000.0,1327.35,41065.47
A_TO_B,1000.0,1325.0,41019.62
A_TO_B,1000.0,1329.36,41035.43
B_TO_A,1000.0,1329.47,41004.35
A_TO_B,1000.0,1329.47,41004.35
A_TO_B,1000.0,1329.64,41012.0
B_TO_A,1000.0,1328.52,41003.89
A_TO_B,1000.0,1328.52,41003.89
A_TO_B,1000.0,1327.73,40982.84
A_TO_B,1000.0,1327.73,40982.84
B_TO_A,1000.0,1329.47,41000.75
A_TO_B,1000.0,1329.47,41000.75
A_TO_B,1000.0,1329.18,40986.51
A_TO_B,1000.0,1328.83,40965.69
A_TO_B,1000.0,1329.44,40980.01
A_TO_B,1000.0,1329.37,40966.52
B_TO_A,1000.0,1330.38,40962.79
A_TO_B,1000.0,1330.38,40962.79
A_TO_B,1000.0,1334.32,41020.01
A_TO_B,1000.0,1337.0,41030.46
A_TO_B,1000.0,1336.96,40956.71
A_TO_B,1000.0,1335.84,40907.24
A_TO_B,1000.0,1338.0,40945.28
B_TO_A,1000.0,1336.15,40905.75
A_TO_B,1000.0,1336.15,40905.75
B_TO_A,1000.0,1331.41,40841.72
A_TO_B,1000.0,1331.41,40841.72
A_TO_B,1000.0,1330.25,40864.38
A_TO_B,1000.0,1330.25,40864.38
B_TO_A,1000.0,1329.0,40856.0
A_TO_B,1000.0,1329.0,40856.0
A_TO_B,1000.0,1328.65,40880.01
B_TO_A,1000.0,1325.38,40805.16
A_TO_B,1000.0,1325.38,40805.16
A_TO_B,1000.0,1325.89,40782.6
A_TO_B,1000.0,1325.89,40782.6
A_TO_B,1000.0,1322.71,40713.31
A_TO_B,1000.0,1318.92,40691.08
A_TO_B,1000.0,1318.92,40691.08
A_TO_B,1000.0,1316.58,40582.49
A_TO_B,1000.0,1321.79,40734.7
A_TO_B,1000.0,1321.79,40734.7
A_TO_B,1000.0,1320.7,40714.47
A_TO_B,1000.0,1320.7,40714.47
B_TO_A,1000.0,1323.07,40770.32
A_TO_B,1000.0,1323.07,40770.32
A_TO_B,1000.0,1321.19,40714.82
A_TO_B,1000.0,1321.19,40714.82
A_TO_B,1000.0,1320.35,40668.08
A_TO_B,1000.0,1320.35,40668.08
B_TO_A,1000.0,1319.07,40632.02
A_TO_B,1000.0,1319.07,40632.02
B_TO_A,1000.0,1316.8,40657.99
